Radius,SIN,COS,,Radius,SIN,COS,,Radius,SIN,COS,,Radius,SIN,COS,,Radius,SIN,COS
10,319,249,,25,319,264,,50,319,289,,75,319,314,,100,319,339
,319,248,,,321,263,,,323,288,,,325,313,,,327,338
,320,248,,,323,263,,,327,288,,,332,312,,,336,337
,321,248,,,325,263,,,331,287,,,338,311,,,344,335
,322,248,,,327,262,,,336,285,,,344,309,,,353,332
,323,248,,,329,261,,,340,284,,,350,306,,,361,329
,324,247,,,331,260,,,344,282,,,356,303,,,369,325
,324,247,,,333,259,,,347,279,,,362,300,,,376,320
,325,246,,,335,258,,,351,277,,,367,296,,,383,315
,326,246,,,336,256,,,354,274,,,372,291,,,389,309
,326,245,,,338,255,,,357,271,,,376,287,,,395,303
,327,244,,,339,253,,,359,267,,,380,281,,,400,296
,327,243,,,340,251,,,362,263,,,384,276,,,405,288
,328,243,,,341,249,,,364,260,,,387,270,,,409,281
,328,242,,,342,247,,,366,256,,,389,264,,,413,273
,328,241,,,343,245,,,367,251,,,391,258,,,415,264
,328,240,,,343,243,,,368,247,,,392,251,,,417,256
,328,239,,,343,241,,,368,243,,,393,245,,,418,247
,328,238,,,343,238,,,368,238,,,393,238,,,418,238
,328,238,,,343,236,,,368,234,,,393,232,,,418,230
,328,237,,,343,234,,,368,230,,,392,225,,,417,221
,328,236,,,343,232,,,367,225,,,391,219,,,415,212
,328,235,,,342,230,,,365,221,,,389,213,,,412,204
,328,234,,,341,228,,,364,217,,,386,207,,,409,196
,327,233,,,340,226,,,362,213,,,383,201,,,405,188
,327,233,,,339,224,,,359,210,,,380,195,,,400,181
,326,232,,,338,222,,,357,206,,,376,190,,,395,174
,326,231,,,336,221,,,354,203,,,371,185,,,389,168
,325,231,,,335,219,,,351,200,,,367,181,,,383,162
,324,230,,,333,218,,,347,197,,,361,177,,,376,156
,323,230,,,331,217,,,343,195,,,356,173,,,368,152
,323,229,,,329,216,,,339,193,,,350,170,,,360,148
,322,229,,,327,215,,,335,191,,,344,168,,,352,144
,321,229,,,325,214,,,331,190,,,338,166,,,344,142
,320,229,,,323,214,,,327,189,,,331,165,,,335,140
,319,229,,,321,214,,,323,189,,,325,164,,,327,139
,318,229,,,318,214,,,318,189,,,318,164,,,318,139
,318,229,,,316,214,,,314,189,,,312,164,,,309,139
,317,229,,,314,214,,,310,189,,,305,165,,,301,140
,316,229,,,312,214,,,305,190,,,299,166,,,292,142
,315,229,,,310,215,,,301,192,,,293,168,,,284,145
,314,229,,,308,216,,,297,193,,,286,171,,,276,148
,313,230,,,306,217,,,293,195,,,281,174,,,268,152
,313,230,,,304,218,,,290,198,,,275,177,,,261,157
,312,231,,,302,219,,,286,200,,,270,181,,,254,162
,311,231,,,301,221,,,283,203,,,265,186,,,247,168
,311,232,,,299,223,,,280,207,,,261,191,,,242,175
,310,233,,,298,224,,,277,210,,,257,196,,,236,182
,310,234,,,297,226,,,275,214,,,253,201,,,232,189
,309,234,,,296,228,,,273,218,,,250,207,,,228,197
,309,235,,,295,230,,,271,222,,,248,213,,,224,205
,309,236,,,294,232,,,270,226,,,246,220,,,222,213
,309,237,,,294,234,,,269,230,,,245,226,,,220,222
,309,238,,,294,236,,,269,234,,,244,232,,,219,230
,309,239,,,294,239,,,269,239,,,244,239,,,219,239
,309,239,,,294,241,,,269,243,,,244,246,,,219,248
,309,240,,,294,243,,,269,248,,,245,252,,,220,257
,309,241,,,294,245,,,270,252,,,246,258,,,222,265
,309,242,,,295,247,,,272,256,,,248,265,,,225,273
,309,243,,,296,249,,,273,260,,,251,271,,,228,281
,310,244,,,297,251,,,275,264,,,254,276,,,232,289
,310,244,,,298,253,,,278,267,,,257,282,,,237,296
,311,245,,,299,255,,,280,271,,,261,287,,,242,303
,311,246,,,301,256,,,283,274,,,266,292,,,248,310
,312,246,,,303,258,,,287,277,,,271,296,,,255,316
,313,247,,,304,259,,,290,280,,,276,300,,,262,321
,314,247,,,306,260,,,294,282,,,282,304,,,269,325
,314,248,,,308,261,,,298,284,,,287,307,,,277,329
,315,248,,,310,262,,,302,286,,,293,309,,,285,333
,316,248,,,312,263,,,306,287,,,300,311,,,293,335
,317,248,,,314,263,,,310,288,,,306,312,,,302,337
,318,248,,,317,263,,,315,288,,,313,313,,,311,338
,319,249,,,319,264,,,319,289,,,319,314,,,319,339
